Título,Autores,Fecha,URL,Fuente
Publisher:,"Xiaofeng Zhang;
Hailin Zou",Year: 2009 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Chen Xue;
Wang Zhun",Year: 2020 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Kirby McMaster;
Brian Rague;
Nicole Anderson",Year: 2010 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Siripon Saenboonsong;
Akarapon Poonsawad",Year: 2024 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Rif’Ati Dina Handayani;
Albertus Djoko Lesmono;
Srihandono Budi Prastowo;
Bambang Supriadi;
Nila Mutia Dewi",Year: 2022 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Yiwei Wang;
Liancheng Xu",Year: 2023 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Lihua Liao;
Jin Liang",Year: 2017 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Xuchen Zhou;
Wei Zhang;
Shengming Wang;
Hao Chen",Year: 2023 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Kyu Han Koh;
Ashok Basawapatna;
Hilarie Nickerson;
Alexander Repenning",Year: 2014 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"L. Dee Miller;
Leen-Kiat Soh;
Vlad Chiriacescu;
Elizabeth Ingraham;
Duane F. Shell;
Stephen Ramsay;
Melissa Patterson Hazley",Year: 2013 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Ines Vlahović;
Ivana Ogrizek Biškupić",Year: 2023 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Junjie Liu;
Xiaojun Xia;
Yi Bai;
Pingyao Liu",Year: 2022 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Navid Ahmadi;
Mehdi Jazayeri;
Monica Landoni",Year: 2012 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Bing-Hong Chen;
Ling-Hsiu Chen;
Chih-Cheng Chen;
Chih-Hung Chen",Year: 2021 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Samar Swaid;
Taima Suid",Year: 2019 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Fengping Yu;
Hong Wang",Year: 2019 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Boqin Liu;
Junmei He",Year: 2014 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Alexander Repenning;
Ashok Basawapatna;
Nora Escherle",Year: 2016 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Nasrin Dehbozorgi;
Mehdi Roopaei",Year: 2024 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Miaomiao Zhao;
Weixing Hu",Year: 2022 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Takayasu Nakamura;
Tetsushi Kawasaki",Year: 2019 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"M Stella;
A Kapuza;
C Cramer;
S Uzzo;
Vito Latora","Year: 2021 | Volume: 9, Issue: 6 | Journal Article | Publisher: OUP",No disponible,IEEE Xplore
Publisher:,"Elif Karakaş;
Meltem Turhan Yöndem",Year: 2020 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Zhenrong Deng;
Wenming Huang;
Rongsheng Dong;
Peizhi Wen",Year: 2009 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
Publisher:,"Gunawan;
Shinta Palupi;
Richki Hardi;
Agung Sakti Pribadi;
Riski Zulkarnain;
M. Nurfalah Setiawan;
Nariza Wanti Wulan Sari;
Sulistiyanto;
Denny Trias Utomo",Year: 2024 | Conference Paper | Publisher: IEEE,No disponible,IEEE Xplore
